,Text,Author,text_length,word_count,avg_word_length,type_to_token_ratio,punctuations_count,avg_sentence_length,POS_Nouns,POS_Verbs,flesch_reading_score,gunning_fog_index,unique_word_count,stopwords_number,cleaned_text,cleaned_tokens
1076,This demonstration continues the application of the Transaction Input Creation 1.sas program. The finalization step is examined here. The goal is to create a transactions input sample for use in predictive modeling. The transaction case input data set contains three rows per checking account.,DM,293,44,6.659090909090909,0.875,5,9.0,0.3953488372093023,0.13953488372093023,43.39,12.58,28,13,demonstration continues application transaction input creation program finalization step examined goal create transaction input sample use predictive modeling transaction case input data set contains three row per checking account,"['demonstration', 'continues', 'application', 'transaction', 'input', 'creation', 'program', 'finalization', 'step', 'examined', 'goal', 'create', 'transaction', 'input', 'sample', 'use', 'predictive', 'modeling', 'transaction', 'case', 'input', 'data_set', 'contains', 'three', 'row', 'per', 'checking', 'account']"
1077,"Introduction of the transaction macros enables the transaction processing to begin in earnest. Additional transaction arrays are declared, corresponding to type, channel, and method fields in the transaction data.",DM,213,29,7.344827586206897,0.85,5,14.5,0.3793103448275862,0.1724137931034483,31.38,12.7,17,10,introduction transaction macro enables transaction processing begin earnest additional transaction array declared corresponding type channel method field transaction data,"['introduction', 'transaction', 'macro', 'enables', 'transaction', 'processing', 'begin', 'earnest', 'additional', 'transaction', 'array', 'declared', 'corresponding', 'type', 'channel', 'method', 'field', 'transaction', 'data']"
1078,"The standard deviation macro function is somewhat more complex than the count or sum functions. Three pieces of information are required to calculate the standard deviation: the number of observations, the sum of the observations, and the sum of the squares of the observations. The first loop in the macro code calculates these quantities and places the results in so-called scratch arrays (see the next slide). If the number of observations is greater than or equal to 2, then the standard deviation is calculated using the usual formula. Discussion of the group macro variable is deferred to the next section.",DM,612,100,6.12,0.75,12,20.0,0.31,0.09,51.18,11.6,42,45,standard deviation macro function somewhat complex count sum function three piece information required calculate standard deviation number observation sum observation sum square observation first loop macro code calculates quantity place result called scratch array see next slide number observation greater equal standard deviation calculated using usual formula discussion group macro variable deferred next section,"['standard', 'deviation', 'macro', 'function', 'somewhat', 'complex', 'count', 'sum', 'function', 'three', 'piece', 'information', 'required', 'calculate', 'standard', 'deviation', 'number', 'observation', 'sum', 'observation', 'sum', 'square', 'observation', 'first', 'loop', 'macro', 'code', 'calculates', 'quantity', 'place', 'result', 'called', 'scratch', 'array', 'see', 'next', 'slide', 'number', 'observation', 'greater', 'equal', 'standard', 'deviation', 'calculated', 'using', 'usual', 'formula', 'discussion', 'group', 'macro', 'variable', 'deferred', 'next', 'section']"
1081,"The temporary transaction arrays are containers for the complete event history of a given case. The maximum records per case macro variable, defined at the start of the transaction transformation process, must be larger than the maximum number of events for each case.",DM,268,43,6.232558139534884,0.8148148148148148,4,21.5,0.3488372093023256,0.06976744186046512,49.65,13.25,22,17,temporary transaction array container complete event history given case maximum record per case macro variable defined start transaction transformation process must larger maximum number event case,"['temporary', 'transaction', 'array', 'container', 'complete', 'event', 'history', 'given', 'case', 'maximum', 'record', 'per', 'case', 'macro', 'variable', 'defined', 'start', 'transaction', 'transformation', 'process', 'must', 'larger', 'maximum', 'number', 'event', 'case']"
1082,"The %DISTRIBUTION macro has two main components: one for numeric variables and one for non-numeric variables. The numeric component centers on the UNIVARITATE procedure, and the non-numeric component centers on the FREQ procedure. The macro has one required keyword parameter, DATA=, and six optional keyword parameters: VARS=, CATVARS=, OUT=, CONTENTS=, FREQ_LEVELS=, and MAX_LEVELS=. %macro distribution(vars=,catvars=,data=, out=LISTING, contents=NO, freq_levels=Y, max_levels=100); DATA=, the lone required parameter, specifies the name of the source data containing the variables of interest. VARS= specifies the variables to analyze from DATA=. Omitting a value for VARS= results in a distribution report for all variables. CATVARS= specifies the names of numeric variables that should be subject to non-numeric analysis. Omission of CATVARS= results in character variables being treated as non-numeric variables. OUT= specifies the destination of the analysis. The destination can be a quoted pdf file location or OUTPUT (the default value). Specifying OUTPUT as the destination results in result table being directed to the Output window and distribution plots being directed to the Graph window. FREQ_LEVELS= specifies the order of levels presented in non-numeric distribution tables. The default value, Y, causes the levels to be ordered by frequency counts (from highest to lowest). A value of N causes the levels to be ordered alphabetically. MAX_LEVELS= specifies the maximum cardinality for distribution summaries. Variables with cardinality higher than the specified value are omitted from the distribution analysis. Details The macro opens with a specification of landscape orientation. options orientation=landscape;",DM,1733,241,7.190871369294606,0.4878048780487805,82,13.38888888888889,0.3593073593073593,0.10822510822510822,31.68,10.66,80,85,distribution macro two main component one numeric variable one non numeric variable numeric component center univaritate procedure non numeric component center freq procedure macro one required keyword parameter data six optional keyword parameter var catvars content freq level max level macro distribution var catvars data listing content freq level max level data lone required parameter specifies name source data containing variable interest var specifies variable analyze data omitting value var result distribution report variable catvars specifies name numeric variable subject non numeric analysis omission catvars result character variable treated non numeric variable specifies destination analysis destination quoted pdf file location output default value specifying output destination result result table directed output window distribution plot directed graph window freq level specifies order level presented non numeric distribution table default value cause level ordered frequency count highest lowest value n cause level ordered alphabetically max level specifies maximum cardinality distribution summary variable cardinality higher specified value omitted distribution analysis detail macro open specification landscape orientation option orientation landscape,"['distribution', 'macro', 'two', 'main', 'component', 'one', 'numeric', 'variable', 'one', 'non_numeric', 'variable', 'numeric', 'component', 'center', 'univaritate', 'procedure', 'non_numeric', 'component', 'center', 'freq', 'procedure', 'macro', 'one', 'required', 'keyword', 'parameter', 'data', 'six', 'optional', 'keyword', 'parameter', 'var', 'catvars', 'content', 'freq', 'level', 'max', 'level', 'macro', 'distribution', 'var', 'catvars', 'data', 'listing', 'content', 'freq', 'level', 'max', 'level', 'data', 'lone', 'required', 'parameter', 'specifies', 'name', 'source', 'data', 'containing', 'variable', 'interest', 'var', 'specifies', 'variable', 'analyze', 'data', 'omitting', 'value', 'var', 'result', 'distribution', 'report', 'variable', 'catvars', 'specifies', 'name', 'numeric', 'variable', 'subject', 'non_numeric', 'analysis', 'omission', 'catvars', 'result', 'character', 'variable', 'treated', 'non_numeric', 'variable', 'specifies', 'destination', 'analysis', 'destination', 'quoted', 'pdf', 'file', 'location', 'output', 'default', 'value', 'specifying', 'output', 'destination', 'result', 'result', 'table', 'directed', 'output', 'window', 'distribution', 'plot', 'directed', 'graph', 'window', 'freq', 'level', 'specifies', 'order', 'level', 'presented', 'non_numeric', 'distribution', 'table', 'default', 'value', 'cause', 'level', 'ordered', 'frequency', 'count', 'highest', 'lowest', 'value', 'n', 'cause', 'level', 'ordered', 'alphabetically', 'max', 'level', 'specifies', 'maximum', 'cardinality', 'distribution', 'summary', 'variable', 'cardinality', 'higher', 'specified', 'value', 'omitted', 'distribution', 'analysis', 'detail', 'macro', 'open', 'specification', 'landscape', 'orientation', 'option', 'orientation', 'landscape']"
1083,Much of the course discussion centers on the analytic objective stated above. Financial institutions usually possess highly detailed data that is challenging to transform into a structure suitable for predictive modeling. The approaches used to overcome the challenges are applicable to many domains.,DM,300,43,6.976744186046512,1.0,3,14.333333333333334,0.2558139534883721,0.13953488372093023,31.58,15.95,28,15,much course discussion center analytic objective stated financial institution usually posse highly detailed data challenging transform structure suitable predictive modeling approach used overcome challenge applicable many domain,"['much', 'course', 'discussion', 'center', 'analytic', 'objective', 'stated', 'financial', 'institution', 'usually', 'posse', 'highly', 'detailed', 'data', 'challenging', 'transform', 'structure', 'suitable', 'predictive', 'modeling', 'approach', 'used', 'overcome', 'challenge', 'applicable', 'many', 'domain']"
1084,"The task of predictive modeling does not stand by itself. To build a successful predictive model you must first?unambiguously?define an analytic objective. The predictive model serves as a means of fulfilling the analytic objective. The predictive modeling effort is surrounded by two other tasks. Before modeling begins, data must be assembled, often from a variety of sources, and arranged in a format suitable for model building. After the modeling is complete, the resulting model (and the modeling results) must be integrated into the business environment that originally motivated the modeling. These tasks often require more effort than the modeling itself. This course focuses on the first of the three tasks: data preparation. Note that while the data preparation task comes before model building, this data preparation course is designed to be taken after a suitable predictive modeling course. With the background gained in a predictive modeling course, students gain insight into the reasons behind the data preparation activities.",DM,1043,158,6.60126582278481,0.5833333333333334,21,13.333333333333334,0.3184713375796178,0.12738853503184713,39.94,10.32,56,63,task predictive modeling stand build successful predictive model must first unambiguously define analytic objective predictive model serf mean fulfilling analytic objective predictive modeling effort surrounded two task modeling begin data must assembled often variety source arranged format suitable model building modeling complete resulting model modeling result must integrated business environment originally motivated modeling task often require effort modeling course focus first three task data preparation note data preparation task come model building data preparation course designed taken suitable predictive modeling course background gained predictive modeling course student gain insight reason behind data preparation activity,"['task', 'predictive', 'modeling', 'stand', 'build', 'successful', 'predictive', 'model', 'must', 'first', 'unambiguously', 'define', 'analytic', 'objective', 'predictive', 'model', 'serf', 'mean', 'fulfilling', 'analytic', 'objective', 'predictive', 'modeling', 'effort', 'surrounded', 'two', 'task', 'modeling', 'begin', 'data', 'must', 'assembled', 'often', 'variety', 'source', 'arranged', 'format', 'suitable', 'model_building', 'modeling', 'complete', 'resulting', 'model', 'modeling', 'result', 'must', 'integrated', 'business', 'environment', 'originally', 'motivated', 'modeling', 'task', 'often', 'require', 'effort', 'modeling', 'course', 'focus', 'first', 'three', 'task', 'data', 'preparation', 'note', 'data', 'preparation', 'task', 'come', 'model_building', 'data', 'preparation', 'course', 'designed', 'taken', 'suitable', 'predictive', 'modeling', 'course', 'background', 'gained', 'predictive', 'modeling', 'course', 'student', 'gain', 'insight', 'reason', 'behind', 'data', 'preparation', 'activity']"
1086,"In general, tabulation functions are the fastest, followed by distributional functions, and finally order statistics (exceptions are the %MIN and %MAX functions, which are in fact the fastest of all the transaction macros). Using Transaction Macros",DM,248,36,6.888888888888889,0.7619047619047619,9,18.0,0.3055555555555556,0.08333333333333333,44.75,12.76,16,15,general tabulation function fastest followed distributional function finally order statistic exception min max function fact fastest transaction macro using transaction macro,"['general', 'tabulation', 'function', 'fastest', 'followed', 'distributional', 'function', 'finally', 'order', 'statistic', 'exception', 'min', 'max', 'function', 'fact', 'fastest', 'transaction', 'macro', 'using', 'transaction', 'macro']"
1087,"In this iteration of the process step, only three inputs are generated per case. The first indicates the presence of a checking account. The second indicates a transaction overflow, in which the observed transaction count exceeds the maximum allowed per case. The third gives the observed transaction count. The transaction case input data must now be transposed to a single row per case and merged with the client ID data set.",DM,427,71,6.014084507042254,0.717391304347826,7,14.2,0.352112676056338,0.1267605633802817,65.52,8.5,33,26,iteration process step three input generated per case first indicates presence checking account second indicates transaction overflow observed transaction count exceeds maximum allowed per case third give observed transaction count transaction case input data must transposed single row per case merged client id data set,"['iteration', 'process', 'step', 'three', 'input', 'generated', 'per', 'case', 'first', 'indicates', 'presence', 'checking', 'account', 'second', 'indicates', 'transaction', 'overflow', 'observed', 'transaction', 'count', 'exceeds', 'maximum', 'allowed', 'per', 'case', 'third', 'give', 'observed', 'transaction', 'count', 'transaction', 'case', 'input', 'data', 'must', 'transposed', 'single', 'row', 'per', 'case', 'merged', 'client', 'id', 'data_set']"
1088,The DATASETS procedure deletes any previous version of the COUNTS data set. The COUNTS data set will contain the cardinality of each non-numeric variable. proc datasets library=work nodetails nolist; delete counts; run;,DM,219,32,6.84375,0.8076923076923077,7,10.666666666666666,0.47058823529411764,0.14705882352941177,60.61,10.53,21,9,datasets procedure deletes previous version count data set count data set contain cardinality non numeric variable proc datasets library work nodetails nolist delete count run,"['datasets', 'procedure', 'deletes', 'previous', 'version', 'count', 'data_set', 'count', 'data_set', 'contain', 'cardinality', 'non_numeric', 'variable', 'proc', 'datasets', 'library', 'work', 'nodetails', 'nolist', 'delete', 'count', 'run']"
1090,"There are many challenges to be faced in the data preparation process. Six of the most important are listed above, in informal terms. Clarification follows on the next slide.",DM,174,29,6.0,1.0,4,9.666666666666666,0.20689655172413793,0.13793103448275862,70.09,8.02,16,13,many challenge faced data preparation process six important listed informal term clarification follows next slide,"['many', 'challenge', 'faced', 'data', 'preparation', 'process', 'six', 'important', 'listed', 'informal', 'term', 'clarification', 'follows', 'next', 'slide']"
1092,"A simple but effective remedy for overgeneralization is thresholding?that is, requiring a minimum number of cases in a level before creating a dummy code input. Any level failing to meet this minimum threshold is relegated to a new level called OTHER. By reducing the number of inputs available to a model, thresholding limits the model?s ability to ?discover? spurious input-target associations.",DM,396,61,6.491803278688525,0.7894736842105263,10,9.0,0.3,0.13333333333333333,27.28,11.95,30,23,simple effective remedy overgeneralization thresholding requiring minimum number case level creating dummy code input level failing meet minimum threshold relegated new level called reducing number input available model thresholding limit model ability discover spurious input target association,"['simple', 'effective', 'remedy', 'overgeneralization', 'thresholding', 'requiring', 'minimum', 'number', 'case', 'level', 'creating', 'dummy', 'code', 'input', 'level', 'failing', 'meet', 'minimum', 'threshold', 'relegated', 'new', 'level', 'called', 'reducing', 'number', 'input', 'available', 'model', 'thresholding', 'limit', 'model', 'ability', 'discover', 'spurious', 'input_target', 'association']"
1093,"In this analysis, stratification will occur on the tenure of a client with the financial institution. Tenure is defined as the number of months elapsed since the customer origination date. Because tenure is a continuous quantity, it will be binned using a so-called dilated time format. Using tenure addresses concerns about the exogenous correlation of time factors (such as the economy) with account acquisition. The strategy matches clients that arrive at the financial institution at about the same time. Some acquire the INS account, and some do not. Any observed differences will not result from factors related when the client originates. The bin sizes in the dilated time format increase with increasing number of months since event. Events within the last year are binned by month. Events between one and two years ago are grouped by quarter. Events 2-3 years ago are grouped by half-year. Events 3-8 years ago are grouped by year. Events more than 8 years ago are consolidated into a single bin representing ?the distant past.?",DM,1037,169,6.136094674556213,0.6176470588235294,24,12.071428571428571,0.3273809523809524,0.13690476190476192,67.65,9.57,63,67,analysis stratification occur tenure client financial institution tenure defined number month elapsed since customer origination date tenure continuous quantity binned using called dilated time format using tenure address concern exogenous correlation time factor economy account acquisition strategy match client arrive financial institution time acquire in account observed difference result factor related client originates bin size dilated time format increase increasing number month since event event within last year binned month event one two year ago grouped quarter event year ago grouped half year event year ago grouped year event year ago consolidated single bin representing distant,"['analysis', 'stratification', 'occur', 'tenure', 'client', 'financial', 'institution', 'tenure', 'defined', 'number', 'month', 'elapsed', 'since', 'customer', 'origination', 'date', 'tenure', 'continuous', 'quantity', 'binned', 'using', 'called', 'dilated', 'time', 'format', 'using', 'tenure', 'address', 'concern', 'exogenous', 'correlation', 'time', 'factor', 'economy', 'account', 'acquisition', 'strategy', 'match', 'client', 'arrive', 'financial', 'institution', 'time', 'acquire', 'in', 'account', 'observed', 'difference', 'result', 'factor', 'related', 'client', 'originates', 'bin', 'size', 'dilated', 'time', 'format', 'increase', 'increasing', 'number', 'month', 'since', 'event', 'event', 'within', 'last', 'year', 'binned', 'month', 'event', 'one', 'two', 'year', 'ago', 'grouped', 'quarter', 'event', 'year', 'ago', 'grouped', 'half_year', 'event', 'year', 'ago', 'grouped', 'year', 'event', 'year', 'ago', 'consolidated', 'single', 'bin', 'representing', 'distant']"
1095,This demonstration continues the use of the Transaction Input Creation 1.sas program. Here the process by ID step is examined. The goal is to transform the raw transactions into a so-called case input data set. Each row of the case input data set is the value of an input for a case. The raw data for this process step is the transaction extract TN_EXTRACT created in the previous demonstration.,DM,395,69,5.72463768115942,0.6585365853658537,8,11.666666666666666,0.3382352941176471,0.10294117647058823,65.93,9.58,27,30,demonstration continues use transaction input creation program process id step examined goal transform raw transaction called case input data set row case input data set value input case raw data process step transaction extract tn extract created previous demonstration,"['demonstration', 'continues', 'use', 'transaction', 'input', 'creation', 'program', 'process', 'id', 'step', 'examined', 'goal', 'transform', 'raw', 'transaction', 'called', 'case', 'input', 'data_set', 'row', 'case', 'input', 'data_set', 'value', 'input', 'case', 'raw', 'data', 'process', 'step', 'transaction', 'extract', 'tn', 'extract', 'created', 'previous', 'demonstration']"
1096,"In practice, analysts typically use a slight variation of this recoding method. Instead of representing the levels with integers, they employ the actual target average (or a model-appropriate transformation) to represent the level. Because their encoding is nearly identical, levels with identical expected response are effectively merged. A common name for this approach is the weight of evidence recoding. Weight of evidence recoding works reasonably well when the number of cases in a level is large enough to get stable target average estimates. However, like dummy coding, when the number of levels is large (so that the number of cases in a level is small), weight of evidence recoding results in models with poor generalization.",DM,735,115,6.391304347826087,0.7183098591549296,17,19.166666666666668,0.3103448275862069,0.10344827586206896,35.07,14.29,51,44,practice analyst typically use slight variation recoding method instead representing level integer employ actual target average model appropriate transformation represent level encoding nearly identical level identical expected response effectively merged common name approach weight evidence recoding weight evidence recoding work reasonably well number case level large enough get stable target average estimate however like dummy coding number level large number case level small weight evidence recoding result model poor generalization,"['practice', 'analyst', 'typically', 'use', 'slight', 'variation', 'recoding', 'method', 'instead', 'representing', 'level', 'integer', 'employ', 'actual', 'target', 'average', 'model_appropriate', 'transformation', 'represent', 'level', 'encoding', 'nearly', 'identical', 'level', 'identical', 'expected', 'response', 'effectively', 'merged', 'common', 'name', 'approach', 'weight', 'evidence', 'recoding', 'weight', 'evidence', 'recoding', 'work', 'reasonably', 'well', 'number', 'case', 'level', 'large', 'enough', 'get', 'stable', 'target', 'average', 'estimate', 'however', 'like', 'dummy_coding', 'number', 'level', 'large', 'number', 'case', 'level', 'small', 'weight', 'evidence', 'recoding', 'result', 'model', 'poor', 'generalization']"
1098,"The resulting distributions were obtained from over 100 simulations per strategy. Threshold dummy coding and the smoothed weight of evidence strategies performed comparably on the presented configuration. In further simulations, it was found that higher cardinality inputs favored the smoothed weight of evidence slightly. A more complete discussion of the results is found in a forthcoming paper by the author.",DM,411,60,6.85,0.8378378378378378,5,15.0,0.3050847457627119,0.11864406779661017,39.33,13.33,31,25,resulting distribution obtained simulation per strategy threshold dummy coding smoothed weight evidence strategy performed comparably presented configuration simulation found higher cardinality input favored smoothed weight evidence slightly complete discussion result found forthcoming paper author,"['resulting', 'distribution', 'obtained', 'simulation', 'per', 'strategy', 'threshold', 'dummy_coding', 'smoothed', 'weight', 'evidence', 'strategy', 'performed', 'comparably', 'presented', 'configuration', 'simulation', 'found', 'higher', 'cardinality', 'input', 'favored', 'smoothed', 'weight', 'evidence', 'slightly', 'complete', 'discussion', 'result', 'found', 'forthcoming', 'paper', 'author']"
1101,"The method you use to access the raw operational data depends on the data?s format and the tools at your disposal. Accessing data in a text or binary file independent of a RDBMS system is often performed by DATA step programming or, in the case of certain file formats, the IMPORT procedure. When the raw operational data is contained within a RDBMS system, you can use SAS/ACCESS products to read and operate on the data as if it were a SAS data set. SAS/ACCESS products also enable you to pass through RDBMS- specific queries that operate completely on the RDDMS server and might utilize functions not available in SAS.",DM,621,109,5.697247706422019,0.6818181818181818,11,22.0,0.24770642201834864,0.11926605504587157,57.81,12.39,45,45,method use access raw operational data depends data format tool disposal accessing data text binary file independent rdbms system often performed data step programming case certain file format import procedure raw operational data contained within rdbms system use sas access product read operate data sas data set sas access product also enable pas rdbms specific query operate completely rddms server might utilize function available sas,"['method', 'use', 'access', 'raw', 'operational', 'data', 'depends', 'data', 'format', 'tool', 'disposal', 'accessing', 'data', 'text', 'binary', 'file', 'independent', 'rdbms', 'system', 'often', 'performed', 'data', 'step', 'programming', 'case', 'certain', 'file', 'format', 'import', 'procedure', 'raw', 'operational', 'data', 'contained', 'within', 'rdbms', 'system', 'use', 'sas', 'access', 'product', 'read', 'operate', 'data', 'sas', 'data_set', 'sas', 'access', 'product', 'also', 'enable', 'pas', 'rdbms', 'specific', 'query', 'operate', 'completely', 'rddms', 'server', 'might', 'utilize', 'function', 'available', 'sas']"
1102,The events in the period of interest can be thought of as measurements of a random variable. All manner of statistics to describe the distribution of this random variable can be used as model inputs.,DM,199,35,5.685714285714286,0.8823529411764706,2,17.5,0.3142857142857143,0.08571428571428572,62.17,12.71,15,19,event period interest thought measurement random variable manner statistic describe distribution random variable used model input,"['event', 'period', 'interest', 'thought', 'measurement', 'random', 'variable', 'manner', 'statistic', 'describe', 'distribution', 'random', 'variable', 'used', 'model', 'input']"
1105,*	transposing the transaction case input data just created *	reconciling transaction overflows *	appending client IDs to the transaction based input sample *	merging the transaction input sample to the target sample.,DM,216,29,7.448275862068965,0.6666666666666666,5,33.0,0.5862068965517241,0.20689655172413793,16.66,18.5,16,7,transposing transaction case input data created reconciling transaction overflow appending client id transaction based input sample merging transaction input sample target sample,"['transposing', 'transaction', 'case', 'input', 'data', 'created', 'reconciling', 'transaction', 'overflow', 'appending', 'client', 'id', 'transaction_based', 'input', 'sample', 'merging', 'transaction', 'input', 'sample', 'target', 'sample']"
1106,"Open the file Transaction Input Creation 1.sas in the SAS program editor. This program performs the four steps of transaction transformation. This demonstration focuses on the selecting and sorting step. The program begins by including a set of macros used for input creation throughout the course. The macros are studied in some detail later in the chapter. *** Include transaction macros; filename crsmacs catalog ""dmdp.course_macros""; %include crsmacs(""transaction_macros.source"");",DM,484,67,7.223880597014926,0.7551020408163265,23,7.777777777777778,0.38095238095238093,0.15873015873015872,54.59,8.77,37,22,open file transaction input creation sas program editor program performs four step transaction transformation demonstration focus selecting sorting step program begin including set macro used input creation throughout course macro studied detail later chapter include transaction macro filename crsmacs catalog include,"['open', 'file', 'transaction', 'input', 'creation', 'sas', 'program', 'editor', 'program', 'performs', 'four', 'step', 'transaction', 'transformation', 'demonstration', 'focus', 'selecting', 'sorting', 'step', 'program', 'begin', 'including', 'set', 'macro', 'used', 'input', 'creation', 'throughout', 'course', 'macro', 'studied', 'detail', 'later', 'chapter', 'include', 'transaction', 'macro', 'filename', 'crsmacs', 'catalog', 'include']"
1107,"The key is knowing the location corresponding to the postal codes. There are many public tabulations of this data available. In fact, one tabulation is found in the SASHELP library. The tabulations, known as ZIP code centroid tables, match postal codes to latitude and longitude locations. Combining the centroid tables with the SAS formats makes it trivial to instantly translate a postal code to latitude and longitude values. Translating Zip Codes to Latitude/Longitude Values Open the file Using Non-Numeric Data 3.sas in the SAS program editor. This program creates formats for translating zip codes to latitude and longitude. Open the data set DMDP.ZIP_CENTROIDS.",DM,669,103,6.495145631067961,0.6081081081081081,16,10.5,0.30097087378640774,0.17475728155339806,51.44,9.61,45,34,key knowing location corresponding postal code many public tabulation data available fact one tabulation found sashelp library tabulation known zip code centroid table match postal code latitude longitude location combining centroid table sas format make trivial instantly translate postal code latitude longitude value translating zip code latitude longitude value open file using non numeric data sas program editor program creates format translating zip code latitude longitude open data set,"['key', 'knowing', 'location', 'corresponding', 'postal', 'code', 'many', 'public', 'tabulation', 'data', 'available', 'fact', 'one', 'tabulation', 'found', 'sashelp', 'library', 'tabulation', 'known', 'zip', 'code', 'centroid', 'table', 'match', 'postal', 'code', 'latitude', 'longitude', 'location', 'combining', 'centroid', 'table', 'sas', 'format', 'make', 'trivial', 'instantly', 'translate', 'postal', 'code', 'latitude', 'longitude', 'value', 'translating', 'zip', 'code', 'latitude', 'longitude', 'value', 'open', 'file', 'using', 'non_numeric', 'data', 'sas', 'program', 'editor', 'program', 'creates', 'format', 'translating', 'zip', 'code', 'latitude', 'longitude', 'open', 'data_set']"
1109,Open the file Transaction Input Creation 2.sas in the SAS program editor. The code focuses on the process by ID step in the transaction input creation exercise. The only change in the program occurs in the execute step.,DM,219,38,5.7631578947368425,0.76,4,9.75,0.40540540540540543,0.08108108108108109,70.29,9.06,19,15,open file transaction input creation sas program editor code focus process id step transaction input creation exercise change program occurs execute step,"['open', 'file', 'transaction', 'input', 'creation', 'sas', 'program', 'editor', 'code', 'focus', 'process', 'id', 'step', 'transaction', 'input', 'creation', 'exercise', 'change', 'program', 'occurs', 'execute', 'step']"
1110,"The augment step creates a data set containing the target date and the checking account open date. The target dates are obtained from the target sample, and the checking account open dates are obtained from the checking account table. The created table is ordered by checking ID for inclusion in subsequent transaction processing.",DM,330,53,6.226415094339623,0.6285714285714286,4,17.666666666666668,0.3584905660377358,0.20754716981132076,53.51,11.61,22,19,augment step creates data set containing target date checking account open date target date obtained target sample checking account open date obtained checking account table created table ordered checking id inclusion subsequent transaction processing,"['augment', 'step', 'creates', 'data_set', 'containing', 'target', 'date', 'checking', 'account', 'open', 'date', 'target', 'date', 'obtained', 'target', 'sample', 'checking', 'account', 'open', 'date', 'obtained', 'checking', 'account', 'table', 'created', 'table', 'ordered', 'checking', 'id', 'inclusion', 'subsequent', 'transaction', 'processing']"
1111,"Most strategies for representing non-numeric data in predictive models involve some form of recoding or transformation of the non-numeric data to numeric data into numeric data. The approaches taken depend mostly on the degree of cardinality. Low cardinality inputs (fewer than 10 distinct levels) are acceptable to most modeling techniques and need no additional processing (although several low cardinality inputs actually look like a single high cardinality input to a statistical model). When the input cardinality is in the range of ten to several hundred, the techniques built in to many statistical models are not sufficient to avoid overgeneralization. Some form of external recoding is usually deployed. Recoding strategies are discussed in the next section. When the cardinality exceeds several hundred, approaches other than recoding are needed. Many of the approaches involve a transformation dependent on the intrinsic or extrinsic properties of the non-numeric input. For example the intrinsic meaning of a non-numeric field such as postal code (location) enables transformations to numeric inputs (latitude and longitude). Location can be used to create or access a variety of valuable modeling inputs. Section 4.3 discusses geocoding, the transformation of postal code to latitude and longitude. Non-numeric variables also possess extrinsic properties in that they often serve as links to other data sources. Section 4.4 describes how linking can be used to transform a single non-numeric input into hundreds of new, independent, and informative inputs. At the highest end of the cardinality scale are the variables with unbounded cardinality. Free-form text fields are one example. The emerging field of text mining focuses on these extreme cardinality inputs. The techniques are of sufficient complexity to justify a separate course.",DM,1851,276,6.706521739130435,0.5714285714285714,39,14.631578947368421,0.2892857142857143,0.11071428571428571,29.65,11.41,104,104,strategy representing non numeric data predictive model involve form recoding transformation non numeric data numeric data numeric data approach taken depend mostly degree cardinality low cardinality input fewer distinct level acceptable modeling technique need additional processing although several low cardinality input actually look like single high cardinality input statistical model input cardinality range ten several hundred technique built many statistical model sufficient avoid overgeneralization form external recoding usually deployed recoding strategy discussed next section cardinality exceeds several hundred approach recoding needed many approach involve transformation dependent intrinsic extrinsic property non numeric input example intrinsic meaning non numeric field postal code location enables transformation numeric input latitude longitude location used create access variety valuable modeling input section discus geocoding transformation postal code latitude longitude non numeric variable also posse extrinsic property often serve link data source section describes linking used transform single non numeric input hundred new independent informative input highest end cardinality scale variable unbounded cardinality free form text field one example emerging field text mining focus extreme cardinality input technique sufficient complexity justify separate course,"['strategy', 'representing', 'non_numeric', 'data', 'predictive', 'model', 'involve', 'form', 'recoding', 'transformation', 'non_numeric', 'data', 'numeric', 'data', 'numeric', 'data', 'approach', 'taken', 'depend', 'mostly', 'degree', 'cardinality', 'low', 'cardinality', 'input', 'fewer', 'distinct', 'level', 'acceptable', 'modeling', 'technique', 'need', 'additional', 'processing', 'although', 'several', 'low', 'cardinality', 'input', 'actually', 'look', 'like', 'single', 'high', 'cardinality', 'input', 'statistical', 'model', 'input', 'cardinality', 'range', 'ten', 'several', 'hundred', 'technique', 'built', 'many', 'statistical', 'model', 'sufficient', 'avoid', 'overgeneralization', 'form', 'external', 'recoding', 'usually', 'deployed', 'recoding', 'strategy', 'discussed', 'next', 'section', 'cardinality', 'exceeds', 'several', 'hundred', 'approach', 'recoding', 'needed', 'many', 'approach', 'involve', 'transformation', 'dependent', 'intrinsic', 'extrinsic', 'property', 'non_numeric', 'input', 'example', 'intrinsic', 'meaning', 'non_numeric', 'field', 'postal', 'code', 'location', 'enables', 'transformation', 'numeric', 'input', 'latitude', 'longitude', 'location', 'used', 'create', 'access', 'variety', 'valuable', 'modeling', 'input', 'section', 'discus', 'geocoding', 'transformation', 'postal', 'code', 'latitude', 'longitude', 'non_numeric', 'variable', 'also', 'posse', 'extrinsic', 'property', 'often', 'serve', 'link', 'data', 'source', 'section', 'describes', 'linking', 'used', 'transform', 'single', 'non_numeric', 'input', 'hundred', 'new', 'independent', 'informative', 'input', 'highest', 'end', 'cardinality', 'scale', 'variable', 'unbounded', 'cardinality', 'free', 'form', 'text', 'field', 'one', 'example', 'emerging', 'field', 'text', 'mining', 'focus', 'extreme', 'cardinality', 'input', 'technique', 'sufficient', 'complexity', 'justify', 'separate', 'course']"
